scope,role_id,role_name,priority,kind,name,access,why,link,notes
ROLE,A11,TestAgent,strong,external-mcp,Figma MCP Server,ro,Сравнение expected UX states с реализованным UI.,https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A11,TestAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Proof via runtime signals.,https://docs.sentry.io/ai/mcp/,
ROLE,A11,TestAgent,strong,tool,Hookdeck / ngrok,lab,Тестирование webhook flows.,https://hookdeck.com/docs/guides/how-to-test-webhooks-locally,
ROLE,A11,TestAgent,strong,tool,k6,ci/local,Performance/smoke/reliability checks before release.,https://grafana.com/docs/k6/latest/,
ROLE,A12,ReviewAgent,must,external-mcp,GitHub MCP Server,ro,Чтение diff/PR/checks/issues.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A12,ReviewAgent,must,external-mcp,Sentry MCP / Datadog MCP,ro,Review должен видеть реальный blast radius и suspect changes.,https://docs.sentry.io/ai/mcp/,
ROLE,A12,ReviewAgent,must,internal-mcp,artifact-registry-mcp,ro,Берёт plan/spec/test outputs/release notes.,,
ROLE,A12,ReviewAgent,must,internal-mcp,knowledge-service-mcp,ro,Свежий контекст для независимого review.,,
ROLE,A12,ReviewAgent,must,tool,Dependency graph + dependency review,ro,Для review dependency changes.,https://docs.github.com/en/code-security/tutorials/secure-your-dependencies/customizing-your-dependency-review-action-configuration,
ROLE,A12,ReviewAgent,strong,external-mcp,Figma MCP Server,ro,Для UI diffs и design conformance.,https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A12,ReviewAgent,strong,external-mcp,Google MCP Toolbox for Databases,ro,Проверка impact на schema/data paths.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ROLE,A12,ReviewAgent,strong,external-mcp,Playwright MCP,controlled-rw,Bug repro / UI validation during review.,https://github.com/microsoft/playwright-mcp,
ROLE,A12,ReviewAgent,strong,tool,CodeQL / Semgrep / Trivy reports,ro,Security findings как часть review pack.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A13,SecurityAgent,must,external-mcp,GitHub MCP Server,ro,"Чтение code, Actions, permissions, workflows.",https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A13,SecurityAgent,must,internal-mcp,policy-guard-mcp,policy-enforcement,"Проверяет, что agent/tool scopes не размыты.",,
ROLE,A13,SecurityAgent,must,internal-mcp,secrets-auth-plane-mcp,metadata-only,Security review auth/integration boundary без утечки секретов.,,
ROLE,A13,SecurityAgent,must,tool,CodeQL,ci,Основной security/code scanning baseline.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A13,SecurityAgent,must,tool,Dependabot security updates,bot-rw,Security patch loop.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-dependabot-security-updates,
ROLE,A13,SecurityAgent,must,tool,Dependency review,ci,PR gate against known vulnerable dependency changes.,https://docs.github.com/en/code-security/tutorials/secure-your-dependencies/customizing-your-dependency-review-action-configuration,
ROLE,A13,SecurityAgent,must,tool,Semgrep,ci/local,"Custom secure coding, secrets and business-logic rules.",https://semgrep.dev/docs/introduction,
ROLE,A13,SecurityAgent,must,tool,Trivy,ci/local,Vuln/misconfig/license/secret scanning.,https://trivy.dev/docs/latest/,
ROLE,A13,SecurityAgent,strong,external-mcp,Cloudflare secure MCP / AWS IAM docs,ro,Для cloud-specific auth/network posture.,https://developers.cloudflare.com/agents/guides/securing-mcp-server/,
ROLE,A13,SecurityAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Detect exploit-like error patterns and release regressions.,https://docs.sentry.io/ai/mcp/,
ROLE,A13,SecurityAgent,strong,tool,Promptfoo,ci/local,"Red-team промпты, evals и agent/MCP misuse tests.",https://www.promptfoo.dev/docs/intro/,
ROLE,A14,DocsAgent,must,external-mcp,GitHub MCP Server,scoped-rw,README/runbook/docs changes in repo.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A14,DocsAgent,must,external-mcp,Linear MCP,ro/scoped-rw,"Ссылки, summaries и completion docs назад в issue/project.",https://linear.app/docs/mcp,
ROLE,A14,DocsAgent,must,internal-mcp,artifact-registry-mcp,rw,"PR summaries, runbooks, diagrams, release notes.",,
ROLE,A14,DocsAgent,must,internal-mcp,knowledge-service-mcp,rw,Обновление canonical docs packs и индексируемых материалов.,,
ROLE,A14,DocsAgent,strong,external-mcp,Figma MCP Server,ro,Подтягивать design context в UI docs.,https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A14,DocsAgent,strong,tool,Postman collections,ro,API docs and examples sync.,https://learning.postman.com/docs/collections/running-collections/intro-to-collection-runs/,
ROLE,A14,DocsAgent,strong,tool,Storybook,ro,Living docs for frontend components.,https://storybook.js.org/docs/writing-tests/visual-testing,
ROLE,A15,ReleaseAgent,must,external-mcp,Feature-flag MCP,scoped-rw,"Progressive rollout, canary, rollback without redeploy.",https://launchdarkly.com/docs/home/getting-started/mcp,
ROLE,A15,ReleaseAgent,must,external-mcp,GitHub MCP Server,scoped-rw,"PR merge, checks, releases, workflows.",https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A15,ReleaseAgent,must,external-mcp,Playwright MCP,controlled-rw,Post-merge smoke and user-path validation.,https://github.com/microsoft/playwright-mcp,
ROLE,A15,ReleaseAgent,must,external-mcp,Sentry MCP / Datadog MCP,ro,Canary/health validation and rollback signals.,https://docs.sentry.io/ai/mcp/,
ROLE,A15,ReleaseAgent,must,internal-mcp,artifact-registry-mcp,rw,"release notes, smoke reports, rollback notes.",,
ROLE,A15,ReleaseAgent,must,internal-mcp,observability-bridge-mcp,ro,Gate by health/alerts/errors.,,
ROLE,A15,ReleaseAgent,must,internal-mcp,release-policy-mcp,ro+gate,Central release constraints and rollout policy.,,
ROLE,A15,ReleaseAgent,must,platform,GitHub environments / protected branches / CODEOWNERS,platform,"Human review, required checks and protected deploy gates.",https://docs.github.com/en/actions/how-tos/deploy/configure-and-manage-deployments/manage-environments,
ROLE,A15,ReleaseAgent,must,tool,Postman CLI,ci/local,API smoke suites in deploy/release flow.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A15,ReleaseAgent,strong,external-mcp,Slack MCP,scoped-rw,Release comms and incident channel coordination.,https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ROLE,A15,ReleaseAgent,strong,tool,k6,ci/local,Canary/performance acceptance where needed.,https://grafana.com/docs/k6/latest/,
ROLE,A16,MonitoringAgent,must,external-mcp,Sentry MCP / Datadog MCP,ro,Главный рабочий контур MonitoringAgent.,https://docs.sentry.io/ai/mcp/,
ROLE,A16,MonitoringAgent,must,internal-mcp,observability-bridge-mcp,ro,Единый observability API для агентов.,,
ROLE,A16,MonitoringAgent,must,internal-mcp,release-policy-mcp,ro,Знает monitoring windows и SLO/error-budget rules.,,
ROLE,A16,MonitoringAgent,must,platform,OpenTelemetry,platform,Трассы/метрики/логи + propagation across systems.,https://opentelemetry.io/docs/,
ROLE,A16,MonitoringAgent,strong,external-mcp,Feature-flag MCP,ro/scoped-rw,Быстрый rollback or partial disable path.,https://launchdarkly.com/docs/home/getting-started/mcp,
ROLE,A16,MonitoringAgent,strong,external-mcp,GitHub MCP Server,ro,Связывает incident signals с suspect deploy/commit.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A16,MonitoringAgent,strong,external-mcp,Slack MCP,ro/scoped-rw,Incident coordination.,https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ROLE,A16,MonitoringAgent,strong,tool,Playwright / k6 synthetic checks,ci/local,Дополнительный live-path verification слой.,https://grafana.com/docs/k6/latest/,
ROLE,A17,ProvisionerAgent,must,external-mcp,GitHub MCP Server,scoped-rw,Repo/project bootstrap and repo metadata operations.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A17,ProvisionerAgent,must,external-mcp,Linear MCP,scoped-rw,Project/milestone/update scaffolding.,https://linear.app/docs/mcp,
ROLE,A17,ProvisionerAgent,must,internal-mcp,github-control-mcp,scoped-rw,"Создание repo, templates, branch protections, workflows.",,
ROLE,A17,ProvisionerAgent,must,internal-mcp,linear-control-mcp,scoped-rw,"Project links, labels, templates, status plumbing.",,
ROLE,A17,ProvisionerAgent,must,internal-mcp,repo-registry-mcp,rw,Создание и синхронизация registry records.,,
ROLE,A17,ProvisionerAgent,must,platform,Docker MCP Gateway,platform,Нужен platform-команде для централизованного MCP layer.,https://docs.docker.com/ai/mcp-catalog-and-toolkit/mcp-gateway/,
ROLE,A17,ProvisionerAgent,must,platform,GitHub environments / branch protections / CODEOWNERS,platform,Golden-path governance by default.,https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-protected-branches/about-protected-branches,
ROLE,A17,ProvisionerAgent,must,platform,MCP Inspector,platform,Перед публикацией любого MCP в allowlist.,https://modelcontextprotocol.io/docs/tools/inspector,
ROLE,A17,ProvisionerAgent,must,tool,Renovate + CodeQL + Dependency graph/review,platform,Supply-chain hygiene by default in every new repo.,https://docs.renovatebot.com/,
ROLE,A17,ProvisionerAgent,strong,external-mcp,Sentry / Datadog project bootstrap,scoped-rw,Новый репо должен сразу получать observability project wiring.,https://docs.sentry.io/ai/mcp/,
ROLE,A17,ProvisionerAgent,strong,external-mcp,Terraform MCP,scoped-rw,Если bootstrap включает infra/workspaces.,https://developer.hashicorp.com/terraform/mcp-server,
ROLE,A17,ProvisionerAgent,strong,platform,Langfuse + OpenTelemetry bootstrap,platform,Для agent-aware repos и workflows.,https://langfuse.com/docs,
ROLE,A18,DependencyAgent,must,internal-mcp,github-control-mcp,scoped-rw,"Maintenance PRs, labels, tracking issues.",,
ROLE,A18,DependencyAgent,must,tool,CodeQL,ci,Security regression check after dependency updates.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A18,DependencyAgent,must,tool,Dependabot security updates,bot-rw,Security-patch fast path.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-dependabot-security-updates,
ROLE,A18,DependencyAgent,must,tool,Dependency graph,ro,Основа для impact analysis.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-the-dependency-graph,
ROLE,A18,DependencyAgent,must,tool,Dependency review,ci,PR gate on risky/vulnerable changes.,https://docs.github.com/en/code-security/tutorials/secure-your-dependencies/customizing-your-dependency-review-action-configuration,
ROLE,A18,DependencyAgent,must,tool,Renovate,bot-rw,Основной dependency refresh engine.,https://docs.renovatebot.com/,
ROLE,A18,DependencyAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Корреляция dependency update -> prod regressions.,https://docs.sentry.io/ai/mcp/,
ROLE,A18,DependencyAgent,strong,tool,Semgrep,ci/local,Дополнительная проверка опасных dependency patterns.,https://semgrep.dev/docs/introduction,
ROLE,A18,DependencyAgent,strong,tool,Trivy,ci/local,SBOM/vuln/license scan after updates.,https://trivy.dev/docs/latest/,
ROLE,A19,EvalsAgent,must,internal-mcp,artifact-registry-mcp,rw,Stores benchmark reports and eval outputs.,,
ROLE,A19,EvalsAgent,must,internal-mcp,evals-dataset-mcp,rw,"Datasets, regressions, golden sets.",,
ROLE,A19,EvalsAgent,must,platform,OpenTelemetry,platform,Trace substrate for agent/system measurement.,https://opentelemetry.io/docs/,
ROLE,A19,EvalsAgent,must,tool,Langfuse,platform,Observability + production-trace evals + datasets.,https://langfuse.com/docs,
ROLE,A19,EvalsAgent,must,tool,Promptfoo,ci/local,Prompt/agent eval and red-team harness.,https://www.promptfoo.dev/docs/intro/,
ROLE,A19,EvalsAgent,strong,external-mcp,GitHub MCP Server,ro,Связка eval results с PRs/code changes.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A19,EvalsAgent,strong,external-mcp,Linear MCP,ro,Связка eval results с delivery outcomes and rework.,https://linear.app/docs/mcp,
ROLE,A19,EvalsAgent,strong,external-mcp,Sentry / Datadog MCP,ro,Incident escape rate и post-release quality.,https://docs.sentry.io/ai/mcp/,
ROLE,A20,ReporterAgent,must,external-mcp,GitHub MCP Server,ro,Чтение PR/check state для human-readable updates.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A20,ReporterAgent,must,external-mcp,Linear MCP,scoped-rw,Публикация комментариев и project updates.,https://linear.app/docs/mcp,
ROLE,A20,ReporterAgent,must,internal-mcp,artifact-registry-mcp,ro,Вставляет PR/reports/release notes links.,,
ROLE,A20,ReporterAgent,must,internal-mcp,comment-memory-mcp,rw,Конденсация длинных threads в high-signal ответы.,,
ROLE,A20,ReporterAgent,must,internal-mcp,linear-control-mcp,scoped-rw,"Комментарии, questions, final summaries, @ask resume.",,
ROLE,A20,ReporterAgent,strong,external-mcp,Sentry / Datadog MCP,ro,Ответы на вопросы по monitoring/release состоянии.,https://docs.sentry.io/ai/mcp/,
ROLE,A20,ReporterAgent,strong,external-mcp,Slack MCP,ro/scoped-rw,Если понадобится писать статус-апдейты и outside-Linear comms.,https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ROLE,A21,IntegrationAgent,must,external-mcp,OpenAPI MCP,ro/scoped-rw,Лучший общий мост к OpenAPI-first провайдерам.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A21,IntegrationAgent,must,external-mcp,Playwright MCP,controlled-rw,"OAuth/browser consent, callback validation, dashboard setup rehearsals.",https://github.com/microsoft/playwright-mcp,
ROLE,A21,IntegrationAgent,must,external-mcp,Sentry MCP / Datadog MCP,ro,Go-live и webhook failures должны видеть runtime signals.,https://docs.sentry.io/ai/mcp/,
ROLE,A21,IntegrationAgent,must,internal-mcp,artifact-registry-mcp,rw,"integration_brief, auth_decision_record, webhook_validation_report, go-live checklist.",,
ROLE,A21,IntegrationAgent,must,internal-mcp,policy-guard-mcp,policy-enforcement,Жёсткая граница для OAuth/webhook/provider actions.,,
ROLE,A21,IntegrationAgent,must,internal-mcp,repo-registry-mcp,ro,"Связывает интеграцию с сервисами, envs и repos.",,
ROLE,A21,IntegrationAgent,must,internal-mcp,runner-capability-mcp,ro,"Проверяет browser consent, allowed domains, webhook lab, secret broker.",,
ROLE,A21,IntegrationAgent,must,internal-mcp,secrets-auth-plane-mcp,metadata-only,Без этого IntegrationAgent превращается в источник утечек и raw creds drift.,,
ROLE,A21,IntegrationAgent,must,tool,Hookdeck or ngrok,lab,Webhook receive/inspect/replay loop.,https://hookdeck.com/docs/guides/how-to-test-webhooks-locally,
ROLE,A21,IntegrationAgent,must,tool,Postman CLI / Collection Runner,local+ci,Функциональные и regression сценарии по provider APIs.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A21,IntegrationAgent,strong,external-mcp,AWS / Cloudflare docs MCP,ro,Помогают для providers с cloud-native docs/surfaces.,https://awslabs.github.io/mcp/servers/aws-knowledge-mcp-server,
ROLE,A21,IntegrationAgent,strong,external-mcp,Slack MCP,ro/scoped-rw,"Must-have, если integration kind = Slack.",https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ROLE,A21,IntegrationAgent,strong,external-mcp,Stripe MCP,ro/scoped-rw,"Must-have, если integration kind = payments/billing.",https://docs.stripe.com/mcp,
ROLE,A21,IntegrationAgent,strong,tool,Schemathesis,ci/local,Автоматический negative/property-based слой поверх provider schemas.,https://schemathesis.readthedocs.io/en/stable/,
ROLE,A21,IntegrationAgent,strong,tool,Stripe CLI,lab,Локальный payment/webhook test loop.,https://docs.stripe.com/stripe-cli,
